"","X.1","X","transcript","version","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","ensembl_gene_id","description"
"24",3452,"XM_030992705.1","XM_030992705",1,298.611723,1.014771176,0.215805034,51.60188865,3.64e-11,2.15e-08,1,"LOC115927200","paraneoplastic antigen Ma2 homolog"
"25",3493,"NM_001129814.1","NM_001129814",1,255.5390594,-1.105589855,0.228828128,33.24386648,2.86e-07,4.62e-05,1,"GeneID_593063","hepatic leukemia factor"
"26",3546,"XM_011678787.2","XM_011678787",2,1662.192223,0.696428354,0.282156819,21.68113016,7.6e-05,0.003290011,1,"LOC580957","60S ribosomal protein L27"
"27",3796,"XM_791638.5","XM_791638",5,874.960224,0.402191904,0.288035919,21.26695025,9.27e-05,0.003737856,1,"LOC592098","60S ribosomal protein L18a"
"28",3940,"XM_030975807.1","XM_030975807",1,162.1112155,0.282540571,0.202840392,20.22428945,0.00015251,0.005205858,1,"LOC105442240","dynein light chain roadblock-type 2-like"
"29",4194,"XR_004063272.1","XR_004063272",1,27914.48403,1.596284237,0.406625085,18.04320699,0.000430916,0.011951187,1,"LOC115922013","5.8S ribosomal RNA"
"30",4238,"XM_030987101.1","XM_030987101",1,19.64351799,-1.882670236,0.569615669,16.75604939,0.000793258,0.018526741,1,"LOC754717","inactive C-alpha-formylglycine-generating enzyme 2"
"31",4510,"XM_001177297.3","XM_001177297",3,96.71069958,0.832040153,0.332043928,16.82228941,0.000768776,0.018194365,1,"LOC752200","phospholipase A2"
"32",4593,"XM_011675147.2","XM_011675147",2,5119.729014,0.846856019,0.312542921,16.3283456,0.000971078,0.022098249,1,"GeneID_373469","ribosomal protein S15a"
"33",4627,"XM_782899.4","XM_782899",4,91.50276629,0.831539489,0.245974972,25.35863252,1.3e-05,0.000887581,1,"LOC582971","barrier-to-autointegration factor, transcript variant X2"
"34",4699,"XM_030981575.1","XM_030981575",1,933.9198886,1.031878552,0.294572834,22.51026212,5.11e-05,0.002450371,1,"LOC115922553","histone H2A, embryonic"
"35",4905,"NM_214576.3","NM_214576",3,224.2484053,1.495338953,0.393831903,17.22779629,0.000634448,0.015867732,1,"GeneID_373378","metallothionein b"
"36",5409,"XM_030996837.1","XM_030996837",1,151.0274397,1.567538734,0.424509837,20.90960041,0.000109926,0.004151476,1,"LOC578453","glycine dehydrogenase (decarboxylating), mitochondrial, transcript variant X2"
"37",5670,"XM_785828.5","XM_785828",5,106.344959,0.572454193,0.242171447,20.46683115,0.00013583,0.004821963,1,"LOC586030","cytochrome b-c1 complex subunit 7"
"38",5819,"XM_030999610.1","XM_030999610",1,269.1719093,0.332837743,0.292769547,17.0316511,0.000696228,0.016928828,1,"LOC579019","ubiquitin-40S ribosomal protein S27a"
"39",5858,"XM_030991493.1","XM_030991493",1,86.91546754,0.988847146,0.324525252,18.19752319,0.000400457,0.011846859,1,"LOC115926617","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3-like"
"40",5973,"XM_030976663.1","XM_030976663",1,16.10320633,-2.190447736,0.769673098,20.13236153,0.000159351,0.005336768,1,"LOC115920596","uncharacterized LOC115920596"
"41",6143,"XM_030973879.1","XM_030973879",1,2395.897641,1.27326407,0.2564084,36.70859582,5.3e-08,9.41e-06,1,"LOC577852","60S ribosomal protein L30, transcript variant X2"
"42",6288,"XM_003726257.3","XM_003726257",3,94.98503635,0.729112008,0.262277542,37.79662629,3.12e-08,6.16e-06,1,"LOC100891486","membrane magnesium transporter 1"
"43",6389,"XM_030972759.1","XM_030972759",1,6125.031793,1.163110433,0.338592653,22.26949751,5.73e-05,0.002677819,1,"LOC590530","40S ribosomal protein S23"
"44",6518,"XM_030973206.1","XM_030973206",1,767.5392602,0.931309716,0.172013524,43.66649077,1.78e-09,7.88e-07,1,"LOC578794","40S ribosomal protein S27-like, transcript variant X2"
"45",6712,"XM_030976377.1","XM_030976377",1,23.9719711,1.341788396,0.924489991,27.53763765,4.54e-06,0.000403032,1,"LOC115920524","uncharacterized LOC115920524"
"46",6754,"XM_030998719.1","XM_030998719",1,22.20395268,1.781917792,1.215440883,18.0693718,0.000425594,0.011951187,1,"LOC593365","circularly permutated Ras protein 1, transcript variant X3"
"47",6810,"XR_004065897.1","XR_004065897",1,28.26677578,0.825208217,0.570483838,14.25942477,0.002572478,0.04909837,1,"LOC115928120","uncharacterized LOC115928120"
"48",6839,"XR_971289.2","XR_971289",2,25.94915212,7.611134157,1.778086651,21.7918933,7.21e-05,0.003280056,1,"LOC579768","subtilisin-chymotrypsin inhibitor-2A, transcript variant X2"
"49",7024,"XR_004065386.1","XR_004065386",1,3855.282571,2.406809397,0.415181123,38.2137895,2.55e-08,5.65e-06,1,"LOC115917849","U1 spliceosomal RNA"
"50",7265,"XR_004065522.1","XR_004065522",1,24.94504913,1.421468424,1.060394625,43.08504581,2.36e-09,8.38e-07,1,"LOC115927253","uncharacterized LOC115927253"
"51",7339,"XM_030986658.1","XM_030986658",1,378.9372951,0.637533228,0.261029946,23.58440143,3.05e-05,0.001804707,1,"LOC762974","translocon-associated protein subunit gamma"
"52",7381,"XR_004064267.1","XR_004064267",1,49.85076738,-0.399496873,1.324571646,19.44886236,0.000220769,0.006997592,1,"LOC115924291","uncharacterized LOC115924291"
"53",7608,"NM_214642.1","NM_214642",1,76.86510411,0.094646424,0.271189884,23.78757351,2.77e-05,0.0016933,1,"LOC373518","primary mesenchyme specific protein MSP130-related-2"
"54",7786,"XM_011684848.2","XM_011684848",2,753.7588731,1.150290455,0.246976281,25.28951304,1.34e-05,0.000887581,1,"LOC582704","late histone H2B.2.2-like"
"55",8013,"XM_030989541.1","XM_030989541",1,64.11635943,1.884438199,0.38125688,31.67095452,6.14e-07,8.02e-05,1,"LOC105441936","tryparedoxin-like"
"56",8075,"XM_030989778.1","XM_030989778",1,58.37528779,-0.51425049,0.406795597,17.64938785,0.000519494,0.01356033,1,"LOC592500","sulfotransferase"
"57",8303,"XM_030990638.1","XM_030990638",1,15.37959536,-3.658035822,0.993973029,18.13217201,0.000413086,0.011951187,1,"LOC115926125","uncharacterized LOC115926125"
"58",8390,"XM_030995170.1","XM_030995170",1,313.8609418,0.489495343,0.178616937,26.55427036,7.3e-06,0.000588998,1,"LOC115928210","c-Myc-binding protein-like"
"59",8535,"XM_030989696.1","XM_030989696",1,16.0767089,0.748152965,0.701889898,24.27548101,2.19e-05,0.001387098,1,"LOC581383","vesicular glutamate transporter 1"
"60",8550,"XM_030991716.1","XM_030991716",1,46.95295136,0.537932868,0.682001368,18.89712544,0.000287121,0.008786892,1,"LOC752419","aqualysin-1"
"61",8708,"XR_004062287.1","XR_004062287",1,21052.01654,1.935422137,0.452406989,30.73702707,9.66e-07,0.000107124,1,"LOC115917699","U1 spliceosomal RNA"
"62",8749,"XM_787297.5","XM_787297",5,202.4562166,0.983241401,0.301684259,21.30351574,9.1e-05,0.003737856,1,"LOC587578","cytochrome c oxidase subunit 7A1, mitochondrial"
"63",9107,"XR_004063563.1","XR_004063563",1,84.25320724,0.561288835,0.33185366,14.44024912,0.002363216,0.045594664,1,"LOC115922689","uncharacterized LOC115922689"
"64",9226,"XM_030992750.1","XM_030992750",1,1734.088972,0.434276181,0.226008937,15.83215251,0.001227465,0.025937504,1,"LOC576067","60S ribosomal protein L12"
"65",9261,"XM_030994862.1","XM_030994862",1,1963.228793,1.245520653,0.288455435,25.61010309,1.15e-05,0.000851197,1,"LOC587551","60S ribosomal protein L24"
"66",9318,"XM_030999040.1","XM_030999040",1,41.39045128,-1.082818741,0.445445798,15.09445911,0.001737681,0.034270925,1,"LOC115929578","RAC serine/threonine-protein kinase-like"
"67",9320,"XM_030995181.1","XM_030995181",1,1457.137452,0.743578318,0.247238046,22.64454736,4.79e-05,0.002419159,1,"LOC115918936","40S ribosomal protein S11-like, transcript variant X1"
"68",9335,"XR_004063667.1","XR_004063667",1,578.3826477,9.43961419,1.669203528,23.11496121,3.82e-05,0.0021182,1,"LOC115922899","large subunit ribosomal RNA"
"69",9512,"XM_777033.5","XM_777033",5,500.0377403,0.335788461,0.327686427,17.71819146,0.000502809,0.01356033,1,"LOC576760","60S ribosomal protein L32"
"70",9733,"XM_030991567.1","XM_030991567",1,33.15452247,0.585125922,0.372660112,17.31136134,0.000609813,0.015687216,1,"LOC105438529","small nuclear ribonucleoprotein Sm D3"
"71",10069,"XM_788739.4","XM_788739",4,2068.028321,0.934420495,0.287431947,19.74291169,0.000191891,0.006192843,1,"LOC589085","60S ribosomal protein L31"
"72",10086,"XM_775045.5","XM_775045",5,74.91565304,-1.079231271,0.340825979,19.31248962,0.000235592,0.007336421,1,"LOC574677","mesoderm induction early response protein 1, transcript variant X2"
"73",10176,"XM_777826.5","XM_777826",5,72.75094517,0.544097881,0.241154405,23.05237019,3.94e-05,0.0021182,1,"LOC577611","ER membrane protein complex subunit 3"
"74",10215,"XM_030972964.1","XM_030972964",1,1317.063832,0.914048539,0.362706093,16.25731005,0.001004226,0.022563312,1,"LOC115919367","60S ribosomal protein L23"
"75",10265,"XR_004065545.1","XR_004065545",1,16.37239539,8.177082457,2.142347377,17.65194563,0.000518864,0.01356033,1,"LOC115927286","uncharacterized LOC115927286, transcript variant X1"
"76",10326,"XM_781033.4","XM_781033",4,39.14087431,2.337636088,0.608731629,17.11843134,0.00066819,0.016472742,1,"LOC581007","heme-binding protein 2"
"77",10479,"XR_970617.2","XR_970617",2,26.80369651,0.457675474,0.559913669,17.70791059,0.000505268,0.01356033,1,"LOC105437465","uncharacterized LOC105437465"
"78",10522,"XM_774944.5","XM_774944",5,2395.1985,0.76165271,0.291874154,15.15782182,0.001686627,0.033637793,1,"LOC577040","40S ribosomal protein S16"
"79",10768,"NM_001123497.1","NM_001123497",1,1342.687755,-0.845859008,0.232525693,21.06935692,0.000101842,0.004017088,1,"LOC548620","elongation factor 1 alpha"
"80",10799,"XM_779989.5","XM_779989",5,3246.939576,1.041522668,0.283614054,27.09499368,5.62e-06,0.000475317,1,"LOC579897","60S ribosomal protein L35a"
"81",10811,"XR_970749.2","XR_970749",2,66.26101991,0.914681426,0.345426145,20.99856265,0.000105349,0.004065081,1,"LOC105437889","uncharacterized LOC105437889"
"82",11176,"XM_788832.5","XM_788832",5,4506.606947,1.14384724,0.362389559,15.53505094,0.001412066,0.029144382,1,"LOC589183","60S acidic ribosomal protein P1"
"83",11200,"XM_789588.5","XM_789588",5,2600.249167,1.004633724,0.304667971,20.61215217,0.00012672,0.00459036,1,"LOC589961","40S ribosomal protein S25"
"84",11209,"XM_790000.4","XM_790000",4,244.3326663,0.785035162,0.320178549,16.53829147,0.000879328,0.02027023,1,"LOC590393","cytochrome b-c1 complex subunit 6, mitochondrial"
"85",11223,"XM_790334.5","XM_790334",5,1034.086682,0.650560196,0.283313205,21.68351141,7.59e-05,0.003290011,1,"LOC590740","40S ribosomal protein S12"
"86",11252,"XM_791421.5","XM_791421",5,1097.890116,0.293664992,0.186710269,23.2719589,3.54e-05,0.002029255,1,"LOC591874","60S ribosomal protein L9"
"87",11315,"XM_793298.5","XM_793298",5,59.26461195,0.858148174,0.389447311,15.19029373,0.001661043,0.033504001,1,"LOC593840","NADH dehydrogenase [ubiquinone] 1 subunit C2"
"88",11518,"XM_791360.5","XM_791360",5,1266.086772,0.221456848,0.294623562,16.00273192,0.001132523,0.024817629,1,"LOC591809","60S ribosomal protein L35"
"89",11544,"XR_004062315.1","XR_004062315",1,8995.919839,1.718913026,0.500572887,22.93485694,4.17e-05,0.002175182,1,"LOC115917714","U1 spliceosomal RNA"
"90",11779,"XR_004063937.1","XR_004063937",1,238.2942152,2.112683137,0.594711274,41.42072764,5.32e-09,1.58e-06,1,"LOC115923512","uncharacterized LOC115923512"
"91",11792,"XR_004063973.1","XR_004063973",1,23.14317766,3.726702067,0.984113938,39.70789715,1.23e-08,3.12e-06,1,"LOC115923586","uncharacterized LOC115923586, transcript variant X2"
"92",11862,"XR_004064409.1","XR_004064409",1,27.30806341,0.897140568,0.698042507,14.79818341,0.001997495,0.038962127,1,"LOC115924641","uncharacterized LOC115924641"
"93",11901,"XR_004064590.1","XR_004064590",1,127.7702484,0.237910311,0.235667159,29.71901477,1.58e-06,0.000155926,1,"LOC100890329","bcl-2-like protein 1, transcript variant X4"
